N,Section,Designation
193,Gateaux et chocolat,CHOCOLAT TARTINER EL MORDJANE 700g f/6
194,Gateaux et chocolat,CHOCOLAT TARTINER EL MORDJANE noisette700g f/6
195,Gateaux et chocolat,CHOCOLAT TARTINER EL MORDJANE B/ 12kg
196,Gateaux et chocolat,CHOCOLAT TARTINER EL MORDJANE noisette B/12
197,Gateaux et chocolat,Miel ASSILA el mordjane1 KG c/12
198,Gateaux et chocolat,Miel ASSILA el mordjane5 KG
199,Gateaux et chocolat,Eau De Fleur casbah
200,Gateaux et chocolat,SUCRE GLACE EL MORDJANE 700G C/12
201,Gateaux et chocolat,MIEL EL MORDJANE 1KG C/12
202,Gateaux et chocolat,MIEL EL MORDJANE 5KG
203,Gateaux et chocolat,petite Beurre C/12
204,Emballage,barquette aluminium 650cl F/100
205,Emballage,Papier Aluminium420 CL
206,Emballage,Papier Film 200 M
207,Emballage,Papier Cuisson50 M
208,Emballage,GOBLET 6 oz LE PRINCE
209,Emballage,SAC SANDWICH CT 400P LE PRINCE
210,Emballage,CUILLERE GM 40PS/50CT RKMD
211,Emballage,CUILLERE PM 40PS/50CT RKDM
212,Emballage,BOITE PLASTIQUE CARRE 375ML C/1000PS
213,Emballage,VERINE EN PLASTIQUE AVEC COVERT ROND F/25
214,Emballage,GOBLET PLSTIQUE BLANC 30*100RKMD
