Nom,Categorie_Suggeree,Type,Format,Variante,Source,Ligne
oigon en Poudre 1kg,Restaurant/Épices,Storable,,,listing_restaurant_cafeteria,107
Epice marinee poulet 1kg,Restaurant/Épices,Storable,,,listing_restaurant_cafeteria,108
Epice Chawarma 1kg,Restaurant/Épices,Storable,,,listing_restaurant_cafeteria,109
KOSBER 1kg,Restaurant/Épices,Storable,,,listing_restaurant_cafeteria,110
epice fromage b/1kg,Restaurant/Épices,Storable,,,listing_restaurant_cafeteria,111
Lait Candia 1L,Restaurant/Alimentations,Storable,1L,,listing_restaurant_cafeteria,112
LAIT SOUMAM F/6,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,113
Lait Candia En Poudre 500g C/12,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,114
Lait milko spray en poudre 500g C/12,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,115
Lait LOVLY en poudre 10KG,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,116
Lben Candia 1L,Restaurant/Alimentations,Storable,1L,,listing_restaurant_cafeteria,117
RAIB CANDIA 1L,Restaurant/Alimentations,Storable,1L,,listing_restaurant_cafeteria,118
Créme Fraiche Fondélice 900 ml,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,119
Créme Fraiche Le Maitre 1L f/6,Restaurant/Alimentations,Storable,1L,,listing_restaurant_cafeteria,120
"Créme Fraiche Le maitre 0,5L f/12",Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,121
Créme Fraiche COCINA 35% 1L F/4L,Restaurant/Alimentations,Storable,1L,,listing_restaurant_cafeteria,122
Fromage Ramdy 600 g,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,123
"Fromage CHEEZY 1,5g",Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,124
Fromage Sliece C/28 cheezy,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,125
"Fromage Fondu MONT DOR 1,8KG",Restaurant/Alimentations,Storable,1.8KG,,listing_restaurant_cafeteria,126
"Fromage Fondu MONT DOR 3,6KG",Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,127
Fromage RICOS 1KG,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,128
Fromage Cook Cheese 1KG,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,129
Camembert Zakkar 250 G,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,130
Camembert Zakkar 350 G,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,131
Camembert Zakkar 120 G,Restaurant/Alimentations,Storable,120G,,listing_restaurant_cafeteria,132
Mascarpone 500G SO TACOS F/8,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,133
poulet,Restaurant/Viandes,Storable,,,listing_restaurant_cafeteria,134
Blanc De Poulet,Restaurant/Viandes,Storable,,,listing_restaurant_cafeteria,135
Cuisse De Poulet,Restaurant/Viandes,Storable,,,listing_restaurant_cafeteria,136
Escalope De Poulet,Restaurant/Viandes,Storable,,,listing_restaurant_cafeteria,137
Escalope De Dinde,Restaurant/Viandes,Storable,,,listing_restaurant_cafeteria,138
Ouefs,Restaurant/Alimentations,Storable,,,listing_restaurant_cafeteria,139
JUS BIFA 125ML F/48,Café/Boissons,Storable,125ML,,listing_restaurant_cafeteria,140
CANDIA CHOCOLAT 20CL F/18,Café/Boissons,Storable,20CL,,listing_restaurant_cafeteria,141
jus rouiba 20cl f/30,Café/Boissons,Storable,20CL,,listing_restaurant_cafeteria,142
Schweppes PET 33CL F/12,Café/Boissons,Storable,33CL,,listing_restaurant_cafeteria,143
Schweppes Canette 14 CL F/24,Café/Boissons,Storable,,,listing_restaurant_cafeteria,144
Hamoud Canette 24CL F/24,Café/Boissons,Storable,24CL,,listing_restaurant_cafeteria,145
Hamoud PET 33 CL F/12,Café/Boissons,Storable,33CL,,listing_restaurant_cafeteria,146
JUS TCHINA 2L F/6,Café/Boissons,Storable,2L,,listing_restaurant_cafeteria,147
Jus Waniss 1L F/6,Café/Boissons,Storable,1L,,listing_restaurant_cafeteria,148
JUS IFRUIT 33CL F/12,Café/Boissons,Storable,33CL,,listing_restaurant_cafeteria,149
NGAOUAS 33CL F/12,Café/Boissons,Storable,33CL,,listing_restaurant_cafeteria,150
ORANGINA 33CL F/12,Café/Boissons,Storable,33CL,,listing_restaurant_cafeteria,151
"Eau GUIDILA 0,5L F/12",Café/Boissons,Storable,,,listing_restaurant_cafeteria,152
"Eau GUIDILA 1,5L F/6",Café/Boissons,Storable,,,listing_restaurant_cafeteria,153
Eau NEW 1L /6 LLK,Café/Boissons,Storable,1L,,listing_restaurant_cafeteria,154
"Eau Lala Khedidja 1,5 L /6",Café/Boissons,Storable,,,listing_restaurant_cafeteria,155
"Eau Lala Khedidja 0,5 CL F/12",Café/Boissons,Storable,,,listing_restaurant_cafeteria,156
"IFRI VICHY 0,33CL F/12",Café/Boissons,Storable,,,listing_restaurant_cafeteria,157
"IFRI VICHY CITRON 0,33CL F/13",Café/Boissons,Storable,,,listing_restaurant_cafeteria,158
Beurre 100% 10g C/480 PS dosette,Café/Divers,Storable,,,listing_restaurant_cafeteria,159
Beurre Melenege 10g C/480 dosette,Café/Divers,Storable,,,listing_restaurant_cafeteria,160
Confiture 20g fraise/pomme/abricot dosette,Café/Divers,Storable,,,listing_restaurant_cafeteria,161
Succedane Miel 20g C/480ps dosettte,Café/Divers,Storable,,,listing_restaurant_cafeteria,162
Chocolat 10g C/480ps dosette,Café/Divers,Storable,,,listing_restaurant_cafeteria,163
Sucre STick 8g C/10kg,Café/Divers,Storable,,,listing_restaurant_cafeteria,164
Madelaine Foureé 6u c/120ps,Café/Biscuits & Gâteaux,Storable,,,listing_restaurant_cafeteria,165
Roule Foureé c/36,Café/Biscuits & Gâteaux,Storable,,,listing_restaurant_cafeteria,166
CACAO MARON En Pondre 1Kg,Café/Divers,Storable,,,listing_restaurant_cafeteria,167
GELATINE EN POUDRE,Café/Divers,Storable,,,listing_restaurant_cafeteria,168
colorant Fructa 20g,Café/Divers,Storable,,,listing_restaurant_cafeteria,169
la vanille liquide 1L,Café/Divers,Storable,,,listing_restaurant_cafeteria,170
LA VANILLE EN POUDRE LA BOREF 500g C/12,Café/Divers,Storable,,,listing_restaurant_cafeteria,171
PATE AROME PISTACHE F/6,Café/Divers,Storable,,,listing_restaurant_cafeteria,172
CHANTILLY SAC 5KG RACIM,Café/Divers,Storable,,,listing_restaurant_cafeteria,173
